bulan,cabang_olahraga,event_olahraga,nomor_pertandingan,nama_peraih_medali,medali,jumlah
2,Bulutangkis,India Open,Ganda Putra,Marcus Fernaldi Gideon,emas,1
3,Bulutangkis,All England 2018,Ganda Putra,Marcus Fernaldi Gideon dan Kevin Sanjaya,emas,1
8,Bulutangkis,Asian Sport Junior Exchange 2018,Beregu,Beregu,emas,1
8,Bulutangkis,Asian Games  XVII/2018,Tunggal Putra,Jonatan Christie,emas,1
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putra,Marcus Fernandi Gideon,emas,1
1,Bulutangkis,Daihatsu Indonesia Masters 2018,Ganda Putri,Greysia Polii dan Apriyani,perak,1
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putra,M. Fajar Ardianto,perak,1
11,Bulutangkis,5th Asia Pacific Deaf Badminton Championship U21,Various,Atlet Disabilitas DKI,perak,1
3,Bulutangkis,Kejuaraan Bulutangkis Astec Open,U17 Tunggal Remaja Putri,Shakira Salsabila,perunggu,1
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putri,Greysia Polii dan Apriyani,perunggu,1
11,Bulutangkis,Asian Junior Sport Exchange Games 2018,Various,Atlet Bulutangkis PPOP DKI,perunggu,1
1,Bulutangkis,Daihatsu Indonesia Masters 2018,Ganda Putri,Greysia Polii dan Apriyani,emas,0
3,Bulutangkis,Kejuaraan Bulutangkis Astec Open,U17 Tunggal Remaja Putri,Shakira Salsabila,emas,0
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putra,M. Fajar Ardianto,emas,0
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putri,Greysia Polii dan Apriyani,emas,0
11,Bulutangkis,5th Asia Pacific Deaf Badminton Championship U21,Various,Atlet Disabilitas DKI,emas,0
11,Bulutangkis,Asian Junior Sport Exchange Games 2018,Various,Atlet Bulutangkis PPOP DKI,emas,0
1,Bulutangkis,Daihatsu Indonesia Masters 2018,Ganda Putra,Marcus Fernaldi Gideon,perak,0
2,Bulutangkis,India Open,Ganda Putra,Marcus Fernaldi Gideon,perak,0
