kota/kabupaten,kecamatan,jenis_fasilitas_olahraga,jumlah
Jakarta Selatan,Mampang Prapatan,Sepakbola,0
Jakarta Selatan,Pancoran,Sepakbola,8
Jakarta Selatan,Pasar Minggu,Sepakbola,2
Jakarta Selatan,Pesanggrahan,Sepakbola,1
Jakarta Selatan,Setiabudi,Sepakbola,2
Jakarta Selatan,Tebet,Sepakbola,1
Jakarta Timur,UP GJRT,Sepakbola,0
Jakarta Timur,Fasilitas GOR Otista,Sepakbola,0
Jakarta Timur,Duren Sawit,Sepakbola,1
Jakarta Timur,Jatinegara,Sepakbola,0
Jakarta Timur,Pulogadung,Sepakbola,0
Jakarta Timur,Cakung,Sepakbola,1
Jakarta Timur,Matraman,Sepakbola,0
Jakarta Timur,Kramat Jati,Sepakbola,0
Jakarta Timur,Makasar,Sepakbola,0
Jakarta Timur,Pasar Rebo,Sepakbola,2
Jakarta Timur,Ciracas,Sepakbola,2
Jakarta Timur,Cipayung,Sepakbola,3
Jakarta Timur,GOR PKP,Sepakbola,0
Jakarta Pusat,Cempaka Putih,Sepakbola,0
Jakarta Pusat,Johar Baru,Sepakbola,0
Jakarta Pusat,Kemayoran,Sepakbola,1
Jakarta Pusat,Gambir,Sepakbola,0
Jakarta Pusat,Menteng,Sepakbola,0
Jakarta Pusat,Senen,Sepakbola,0
Jakarta Pusat,Tanah Abang,Sepakbola,2
Jakarta Pusat,Sawah Besar,Sepakbola,0
Jakarta Barat,UPT GRJB,Sepakbola,0
Jakarta Barat,Grogol Petambutan,Sepakbola,0
Jakarta Barat,Palmerah,Sepakbola,1
Jakarta Barat,Kebon Jeruk,Sepakbola,1
Jakarta Barat,Kembangan,Sepakbola,0
Jakarta Barat,Cengkareng,Sepakbola,1
Jakarta Barat,Kalideres,Sepakbola,2
Jakarta Barat,Tambora,Sepakbola,1
Jakarta Barat,Tamansari,Sepakbola,0
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,Sepakbola,3
Jakarta Utara,Cilincing,Sepakbola,2
Jakarta Utara,Koja,Sepakbola,2
Jakarta Utara,Kelapa Gading,Sepakbola,0
Jakarta Utara,Tanjung Priok,Sepakbola,1
Jakarta Utara,Pademangan,Sepakbola,0
Jakarta Utara,Penjaringan,Sepakbola,2
Jakarta Selatan,Cilandak,stadion,0
Jakarta Selatan,Jagakarsa,stadion,0
Jakarta Selatan,Kebayoran Baru,stadion,0
Jakarta Selatan,Kebayoran Lama,stadion,0
Jakarta Selatan,Mampang Prapatan,stadion,0
Jakarta Selatan,Pancoran,stadion,0
Jakarta Selatan,Pasar Minggu,stadion,1
Jakarta Selatan,Pesanggrahan,stadion,0
Jakarta Selatan,Setiabudi,stadion,1
Jakarta Selatan,Tebet,stadion,1
Jakarta Timur,UP GJRT,stadion,0
Jakarta Timur,Fasilitas GOR Otista,stadion,0
Jakarta Timur,Duren Sawit,stadion,1
Jakarta Timur,Jatinegara,stadion,0
Jakarta Timur,Pulogadung,stadion,1
Jakarta Timur,Cakung,stadion,0
Jakarta Timur,Matraman,stadion,0
